"id";"idFilme";"idMidiaInst";"fonte";"nomeFilme";"nomeOriginal";"franquia";"universo";"sinonimos";"trilhaSonora";"produtoras";"anoLancamento";"duracao";"classificacao";"idiomaOriginal";"idiomas";"livro";"sinopse";"genero";"keywords";"tema";"direcao";"criacao";"producao";"roteiro";"status";"numeroTemporadas";"numeroEpisodios";"duracaoMediaEpisodios";"isSerie";"other";"elenco"
306;19822;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
307;19821;0;"google";"Medici: Masters of Florence|";"";"";"";"Primeiro episódio: |";"";"";"18 de outubro de 2016|";"";"";"Língua inglesa|Gêneros: |Thriller, Biografia, Mistério, Romance, Ficção histórica|Episódios|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"Richard Madden|Cosimo de&apos; Medici|Dustin Hoffman|Giovanni|Annabel Scholey|Contessina|Stuart Martin|Lorenzo|Guido Caprino|Marco Bello|Valentina Bellè|Lucrezia|Pesquisas relacionadas|Os Pilares da Terra|2010|Leonardo|Channel Zero|The Last Kingdom|The Borgias|Da Vinci&apos;s Demons|"
308;19820;0;"google";"Movie Talk|";"";"";"";"Primeiro episódio: |Episódio final: |, |";"";"";"setembro de 2012|novembro de 2012|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
309;19824;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
310;19825;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
311;19829;0;"google";"";"";"";"";"Série de desenho animado|";"";"";"The Looney Tunes Show é uma série de desenho animado estadunidense, baseada nos personagens originais de Looney Tunes e Merrie Melodies de 1930-1969, que estreou em 3 de maio de 2011 no Cartoon Network e em 7 de abril de 2014 estreou no Boomerang. |3 de maio de 2011|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"Jeff Bergman|, |Kristen Wiig|, |Bob Bergen|, |Fred Armisen|, |mais|Episódios|Personagens|Lola Bunny|Kristen Wiig|Speedy González|Fred Armisen|Granny|Stephanie Courtney|Pete Puma|Stan Freberg|Tina Russo|Jennifer Esposito|Pesquisas relacionadas|Baby Looney Tunes|Wabbit|Duck Dodgers|The Sylvester and Twee...|Tiny Toon Adventures|The Tom and Jerry Show|"
312;19826;0;"google";"Traçando Arte|Traçando Arte é uma série original da TV Rá-Tim-Bum que traz ao público infantil um pouco da obra e da biografia de grandes pintores. |";"";"";"";"Programa de TV|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
313;19828;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
314;19827;0;"google";"";"";"";"";"Primeiro episódio: |";"";"";"19 de dezembro de 2011|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"Rosabell Laurenti Sellers|Mia|Josephine Benini|Violetta|Saphia Stoney|Paula|Adrian Moore|Vincent|Linda Ballantyne|Mayla|Tajja Isen|Yuko|Pesquisas relacionadas|O Clube das Winx|Regal Academy|Huntik|My Little Pony: A Amizade...|Pop Pixie|2011|Tickety Toc|"
315;19823;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
316;19868;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
317;19877;0;"google";"As Aventuras da Liga da Justiça - Armadilha do Tempo|";"";"";"";"Diedrich Bader|";"Frederik Wiedmann|";"";"Filme de 2014|21 de janeiro de 2014 (mundial)|21 de janeiro de 2014 (|";"";"";"";"";"";"";"As Aventuras da Liga da Justiça - Armadilha do Tempo|";"";"";"Giancarlo Volpe|Duração: |";"";"";"";"";"";"";"";0;"";"Diedrich Bader|"
318;19852;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
319;19861;0;"google";"A Dieta Do Amor (Livro por Mabel Iam)|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
320;19873;0;"google";"Revenge Body with Khloé Kardashian|";"";"";"";"";"";"";"12 de janeiro de 2017|";"";"";"Língua inglesa|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"Khloe Kardashian|Episódios|Pesquisas relacionadas|Keeping Up with the Kardashi...|Rob &amp; Chyna|2016|L.A. Clippers Dance Sq...|2016|WAGS|Dash Dolls|2015|Kourtney and Khloé Take The...|"
321;19904;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
322;19905;0;"google";"";"";"";"";"";"Stanley Clarke|1|Soul Music|2:58|2|I&apos;m Your Puppet|4:05|3|Private Number|3:08|4|Water|3:14|5|Never Can Say Goodbye|5:16|6|Boogie Ain&apos;t Nuttin&apos; (But Gettin&apos; Down)|4:10|7|Just Dropped In (To See What Condition My Condition Was in)|2:59|8|Memphis Train|2:53|9|Comfort Me|2:52|10|You Don&apos;t Know What You Mean (To a Lover Like Me) (feat. Lee Fields)|3:30|11|2:44|12|Do Your Thing|13:54|";"";"Filme de 2008|7 de novembro de 2008 (mundial)|";"";"";"";"";"";"";"";"";"";"Malcolm D. Lee|Duração: |1h 43m|";"";"";"";"";"";"";"";0;"";"Bernie Mac|Floyd Henderson|Samuel L. Jackson|Louis Hinds|Isaac Hayes|Sharon Leal|Cleo|John Legend|Marcus Hooks|Jennifer Coolidge|Rosalee|Pesquisas relacionadas|O Ônibus|1998|O Rei do Jogo|2004|Papai Noel às Avessas|2003|Wieners|2008|O Império do Besteirol...|2001|Caindo na Estrada 2: O Jogo d...|2009|"
323;19841;0;"google";"Física Divertida|Física Divertida é um programa educativo formado a partir de parceria entre a TV Rá-Tim-Bum e a Mad Science São Paulo. O programa estreou em agosto de 2010. No ano de 2011 está em sua segunda temporada e é dirigido por Mário Masetti. |";"";"";"";"";"";"";"Física Divertida é um programa educativo formado a partir de parceria entre a TV Rá-Tim-Bum e a Mad Science São Paulo. O programa estreou em agosto de 2010. No ano de 2011 está em sua segunda temporada e é dirigido por Mário Masetti. |Data da primeira publicação: 31 de janeiro de 2007|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
324;19906;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
325;19893;0;"google";"Muamba|No Brasil, Muamba é uma gíria muito usada para designar itens de contrabando.
Muambeiro é o indivíduo cuja atividade relaciona-se diretamente com a aquisição, transporte e/ou comercialização da muamba. |Muamba (Canção de Jorge Vercillo)|";"";"";"";"Muamba|";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
326;19891;0;"google";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";""
