"id";"nome";"url";"seletor";"fonte";"status";"createdAt";"updatedAt"
34637;"Tempero na Mochila";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34638;"Comidas Exóticas";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34639;"Movie Talk";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34640;"Cinelab";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34641;"Nella, Uma Princesa Corajosa";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34642;"Medici: Masters of Florence";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34643;"O Mundo de Mia";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34644;"Traçando Arte";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34645;"O Show dos Looney Tunes";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34646;"Risco de Morte";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34647;"O Renascimento da África";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34648;"Campeonato Europeu de Rali FIA";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34649;"A Maldição do Ouro Perdido";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34650;"Neruda";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34651;"Condomínio Jaqueline";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34652;"Premium Selections";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34653;"Click";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34654;"Kitchen Nightmares";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34655;"Super Wings";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34656;"Defiance";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34657;"Quintal da Cultura";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34658;"Física Divertida";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34659;"Traçando Arte";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34660;"Eu e o Quarteto Apavorante";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34661;"Rubra e as Criaturas";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34662;"Cocoricó";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34663;"Os Padrinhos Mágicos";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34664;"Atomic Puppet";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34665;"Guardiões da Galáxia";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34666;"Carros 2";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34667;"LEGO Star Wars - As Aventuras dos Freemaker";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34668;"Gazoon";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34669;"Piquenique com Bolo";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34670;"Oriente Médio Selvagem";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34671;"Veterinário das Montanhas";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34672;"Com Água até o Pescoço";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34673;"Os Reis de Beverly Hills";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34674;"Desamarrando o Amor";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34675;"Fome de Quê?";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34676;"Debutantes";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34677;"Dieta do Amor";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34678;"Falou e Disse!";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34679;"Pelados e Apaixonados";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34680;"A Caixa do Sexo";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34681;"Dance Moms";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34682;"A Pequena Família de Terra";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34683;"Pequenas Grandes Mulheres: Atlanta";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34684;"Project Runway - Empreendedores";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
34685;"Primeira Vez";"";"";"";1;"0000-00-00 00:00:00";"2017-08-27 08:59:51"
